OSM_ID;type;lat;lon;addr:postcode;addr:street;addr:housenumber;amenity;name;opening_hours;cuisine
282655576;node;47.4982284;8.7270102;8400;Steinberggasse;65;pub;Fahrenheit;"Mo-We 14:00-24:00; Th 14:00-01:00; Fr 14:00-02:00; Sa 09:00-02:00; Su 14:00-22:00";
282655581;node;47.498689;8.727701;8400;Metzggasse;11;restaurant;Pulcinella;Mo-Su 17:30-23:30;italian
285953784;node;47.4983429;8.7206239;8400;Zürcherstrasse;7;pub;Plan B;"Mo-Th 10:00-24:00; Fr 10:00-02:00; Sa 14:00-02:00; Su 14:00-24:00";
299079168;node;47.4948426;8.7180767;;;;pub;Kraftfeld;Fr,Sa 21:00-05:00, We,Th 19:00-01:00;
300428220;node;47.5109256;8.6944084;;;;restaurant;Hirschen;;
307364223;node;47.507203;8.7112534;8400;Wülflingerstrasse;77;restaurant;Café Auszeit;Tu-Su 08:00-18:00;
307364547;node;47.5116598;8.7216514;8400;Schaffhauserstrasse;56;restaurant;Pizzeria Rosenberg;Tu-Su 9:00-22:00;"pizza;italian"
352831991;node;47.499444;8.7325645;;Neustadtgasse;25;cafe;Dimensione;"Sa,Su off; Mo-Fr 10:00-16:00";
353186982;node;47.4990848;8.7244693;;;;fast_food;McDonald's;Mo-Sa 08:30-24:00,Fr 00:00-01:00,Sa 00:00-05:00,Su 00:00-06:00,10:00-24:00;burger
359683408;node;47.4963918;8.7402957;;;;restaurant;Ristorante Pizzeria al Agi-M;"Mo-Sa 11:00-14:00,17:00-22:30; PH closed";"pizza;italian"
359683523;node;47.4958068;8.7380951;8400;Grüzenstrasse;45;restaurant;Bistrot George;"Tu,Th-Su 10:00-18:00; We 10:00-20:00";
359683717;node;47.4943149;8.7407208;;;;restaurant;Cucina;;"italian;indian"
359685942;node;47.5003358;8.727246;;Stadthausstrasse;8;restaurant;Strauss;Mo-Sa 10:00-24:00;regional
359686638;node;47.5004628;8.7268709;8400;Stadthausstrasse;10;restaurant;Rosa Pulver;"Tu-Fr 11:30-13:30, 18:00+; Sa 18:00+";regional
359686907;node;47.5008859;8.7260018;;;;restaurant;Coop Restaurant;Mo-Sa 08:00-20:00;
359687037;node;47.5009387;8.7252033;8400;Bahnhofplatz;12;restaurant;Santa Lucia;"Mo-Fr 11:30-14:00,17:30-22:30; Sa,Su 11:30-22:30";pizza
359687167;node;47.5004342;8.7251948;;;;pub;Coal Mine Bar;;
359687975;node;47.4989829;8.7262079;8400;Bosshardengässchen;2;restaurant;Restaurant Trübli;Tu-Sa 16:00-23:30;
359688178;node;47.4984254;8.7261656;8400;Neumarkt;3;restaurant;Typisch Thai;"Mo-Fr 10:00-14:00; Mo-Th, Su 17:00-22:00; Fr, Sa 17:00-23:00";thai
359690143;node;47.4992687;8.7284821;;;;pub;Thurbina;Tu,We 15:00-23:00, Th 15:00-24:00, Fr 15:00-01:00, Sa 14:00-01:00, Su 15:00-21:00;
359690232;node;47.497844;8.7284816;8400;Technikumstrasse;44;pub;Le ciel bleu;;
359690395;node;47.4977995;8.7278351;8400;Technikumstrasse;56;restaurant;Brasserie Rössli;"Tu-Fr 11:45-14:00,18:00-22:30; Sa 18:00-22:30";mediterranean
359690485;node;47.4980808;8.7289351;8400;Steinberggasse;29;pub;Gwölb;;
359690572;node;47.4983902;8.7301298;8400;Steinberggasse;2;pub;Riva;;
359690720;node;47.498871;8.7301867;;;;restaurant;Obergass;"Mo 17:00-24:00; Tu-Fr 08:00-24:00; Sa 09:30-24:00";
359690786;node;47.4979333;8.729406;8400;Technikumstrasse;28;restaurant;DA MÈ;;italian
359690871;node;47.4996801;8.7298391;8400;Marktgasse;15;restaurant;Sonne;We-Su 11:00-14:30,17:00-22:00+;regional
359691092;node;47.500123;8.7291699;8400;Stadthausstrasse;71;restaurant;La Pergola;"Mo-Sa 09:00-14:00,17:00-23:00; Su off";italian
359691412;node;47.4997238;8.7287787;8400;Marktgasse;44;restaurant;Cantinetta Bindella;"Mo-Th 11:30-23:00; Fr-Sa 11:30-24:00; Su 12:00-22:00";italian
359691979;node;47.4980673;8.7277879;;Steinberggasse;51;restaurant;Pizzeria Don Camillo;"Mo,Su off; Tu-Fr 11:30-14:00,18:00-22:30; Sa 12:00-14:30,18:00-22:30";pizza
359692073;node;47.4987259;8.7247369;8400;Technikumstrasse;96;restaurant;Orsini;"Mo,Tu 10:00-22:00; We-Fr 10:00-23:00; Sa 15:00-23:00";
359692293;node;47.499542;8.7201703;;;;restaurant;Stricker’s;"Mo-Th 11:00-23:00; Fr 11:00-24:00; Sa 09:00-24:00; Su 09:00-16:00";"international;burger;regional;tapas"
359692440;node;47.5019996;8.7185647;;;;restaurant;Bellevue;Mo-Su 10:00-23:00;
359692842;node;47.5023945;8.7182843;;;;restaurant;Stadion;"Mo-Fr 06:45-23:00; Sa 08:00-22:00; Su 08:00-14:00";
359693315;node;47.5060238;8.7148178;;;;restaurant;Central;"Mo-Fr 08:00-14:00, 16:00-23:00; Sa 17:00-23:00";
359694751;node;47.504206;8.720648;8400;Wülflingerstrasse;18;restaurant;No18;"Th-We 11:30-01:00; Th-Fr 11:30-02:00; Sa 15:00-02:00";regional
359694784;node;47.504621;8.7195676;;;;restaurant;Tandoor;"Mo-Fr 11:00-14:00,18:00-24:00;Sa-Su 18:00-24:00";indian
359695274;node;47.5052041;8.7172595;8400;Walkestrasse;23;restaurant;Piazza;Mo-Th 17:00-22:30, Fr 17:00-23:00, Sa 12:00-23:00, Su 12:00-22:00;"pizza;kebab"
359700824;node;47.5073743;8.725867;8400;Brunngasse;41;fast_food;Lori Take Away;"Mo-Th 10:00-23:00; Fr-Sa 10:00-24:00; Su 10:00-23:00";kebab
359701183;node;47.5077581;8.7253968;8400;Blatterstrasse;1;restaurant;Äusserer Lindhof;"Mo 06:00-13:30; Tu-Fr 06:00-13:30, 16:00-22:00; Sa 08:00-14:00";regional
369825427;node;47.4961895;8.6986067;;;;restaurant;Salitre;;
380488748;node;47.4991725;8.7313796;;;;restaurant;Punto e Pasta;"Oct 1-Apr 30 Mo-Su 11:00-23:30; May 1-Sep 30 Mo-Su 11:00-24:00";italian
382989332;node;47.496626;8.7274275;8400;Büelrainstrasse;1;restaurant;Barnabas;Tu-Sa 18:00-23:00;asian
387450211;node;47.4972516;8.7275212;;;;pub;Das schmale Handtuch;Tu-Th 16:00-24:00, Fr 16:00-02:00, Sa 18:00-02:00;
412728346;node;47.507301;8.7108669;;;;restaurant;Blumenau;;regional
412729253;node;47.4984069;8.7381431;;;;restaurant;Haku;Tu-Sa 11:00-14:00,17:30-22:00;japanese
412760190;node;47.4912979;8.7075577;8406;Stationsstrasse;3;restaurant;Oliveira;"Tu-Fr 10:30-22:00; Sa 10:00-22:00; Su 10:00-20:00";portuguese
441314886;node;47.4803434;8.7639702;;;;restaurant;Freieck;Su-Tu 10:00-23:30, Fr,Sa 10:00-00:30;
471627998;node;47.4981269;8.7232638;8400;Untere Vogelsangstrasse;7;pub;Baby;;
471627999;node;47.4985743;8.7234927;8400;Archstrasse;2;pub;Archbar;"Mo-Fr 16:30+; Sa 19:00+";
471628000;node;47.4994389;8.7277569;8400;Marktgasse;45;restaurant;Molino;Mo-Su 10:00-23:00;pizza
472774192;node;47.4978528;8.728577;8400;Technikumstrasse;42;fast_food;Zermatt Kebap Haus;;kebab
498891528;node;47.5071524;8.725742;8400;Brunngasse;35;restaurant;San Remo;"Mo-Fr 10:00-14:00,17:00-23:00; Sa 17:00-23:30";pizza
534876365;node;47.5050499;8.7184541;;;;restaurant;Buon Gusto;"Mo-Fr 11:00-14:00, Mo-Fr 17:00-22:00+; Sa 18:00-22:00+";
534878149;node;47.5048564;8.7189785;8400;Wülflingerstrasse;28;restaurant;nachbarsbox;"Mo, Tu, Th 07:00-18:00; We, Fr 07:00-24:00; Sa, Su, PH off";"grill;salad;bread"
534880632;node;47.5108283;8.6979044;;;;cafe;Cafe-Restaurant Wülflingen;;
534917835;node;47.4979559;8.7313352;;;;restaurant;Bistro Alte Kaserne;"Mo-Fr 09:00-22:30; Sa 15:00-22:30";regional
548913444;node;47.512034;8.6848455;;;;restaurant;Schwimmbad Wülflingen;;
548915072;node;47.5163992;8.6795583;;;;restaurant;Weinberg;;
548920489;node;47.5026529;8.7198587;;;;restaurant;La Bodega Carlo;"Tu-Fr 08:30-14:00,17:00-23:00; Sa 09:30-14:00,17:00-23:00";spanish
548920518;node;47.5012974;8.7212681;;;;restaurant;Osteria del fiore;"Mo-Fr 11:30 - 14:00, 18:00-23:00; Sa 16:00-24:00; So 16:00-22:00";italian
548920700;node;47.4989065;8.7212551;;;;restaurant;Fuji;"Mo-Sa 11:00-22:00; Su 12:00-22:00";asian
556746551;node;47.4941104;8.714503;;;;restaurant;Pizzeria Schwanen;;pizza
560156308;node;47.5011461;8.7211262;8400;Wartstrasse;23;restaurant;Maharaja Curry;"Mo-Fr 11:30-14:00,18:00-23:00; Sa 18:00-23:00";indian
560157037;node;47.5017718;8.7209446;;;;restaurant;Tibet Bistro;"Tu 17:30-21:30; We-Su 11:30-14:00, 17:30-21:30";tibetan
561504426;node;47.4990805;8.7234884;;;;fast_food;Swiss Corner;;kebab
561504439;node;47.4974901;8.7238013;;;;fast_food;Winiti Star;;
561504452;node;47.4978808;8.7235621;;;;restaurant;La Torre;;
561524250;node;47.4981673;8.7291301;8400;Steinberggasse;25;restaurant;Winti-Kanne;"Tu-Fr 11:30-14:00,18:00+; Sa 18:00+; Mo,Su open ""Auf Anfrage""; PH closed";"regional;mediterranean"
564669032;node;47.4912971;8.7067075;;;;fast_food;Sargin Kebap Haus;"Tu-Fr 10:00-21:00; Sa,Su 11:00-21:00";kebab
564669037;node;47.4914174;8.7061859;;;;fast_food;Poly;;kebab
564670033;node;47.499378;8.7219049;;;;cafe;Kuhn;"Mo-Fr 06:30-20:00; Sa 07:00-18:00; May-Oct Su 08:00-14:00; Nov-Apr Su 08:00-17:00";
564670042;node;47.4995031;8.7244639;8400;Stadthausstrasse;143;restaurant;Boulevard;"Mo-Th 05:45-00:30; Fr 05:45-02:30; Sa 09:00-02:30; Su 11:00-00:30";burger
564670052;node;47.499624;8.725323;8400;Stadthausstrasse;135;pub;Gilgamesh Bar und Lounge;Mo-Th 12:00-02:00, Fr,Sa 12:00-05:00, Su 13:00-02:00;
564888514;node;47.4986288;8.7261468;8400;Neumarkt;7;restaurant;Brauhaus;"We,Th 11:00-23:30; Fr 16:00-23:30; Sa 14:00-23:30; Su 10:00-15:00";
564888543;node;47.4986144;8.7267513;8400;Neumarkt;6;restaurant;Restaurant Alterszentrum Neumarkt;"Mo-Sa 07:30-17:00; Su 09:00-17:00";regional
564917957;node;47.5066848;8.6811413;;;;restaurant;Bahnhof Wülflingen;;
574671585;node;47.4950888;8.7178027;;;;pub;Labüsch Bar;;
574685031;node;47.498311;8.7172632;8400;Neuwiesenstrasse;1;fast_food;Manta Bar;Mo-Fr 09:00-15:00;
593846241;node;47.4994087;8.71984;8400;Schützenstrasse;8;restaurant;El Burrito Feliz;"Mo-Sa 11:30-14:00,17:30-22:00; PH closed";mexican
632149361;node;47.4822603;8.7612293;;;;restaurant;Rössli;"Tu-Fr 08:30-23:00; Sa 11:00-23:00; Su 11:00-17:00";
648047492;node;47.5020586;8.7270092;8400;Theaterstrasse;7;fast_food;Al Mouchtar;Mo-Su 10:00-20:00;syrian
651516557;node;47.4840926;8.7597534;;;;restaurant;Sonne;;pizza
659475608;node;47.4981027;8.7409953;;;;restaurant;Hermannseck;"Mo-Fr 09:00-23:00; Sa 17:00-23:30";regional
663893225;node;47.5108415;8.6951973;;;;restaurant;Eulach-Treff;;
675161654;node;47.4997184;8.7261232;8400;Stadthausstrasse;121;cafe;Locanda Trivisiano;"Mo 13:30-18:00; Tu-Fr 09:00-18:00; Sa 10:00-14:00";
675161668;node;47.499606;8.7251847;8400;Stadthausstrasse;137;fast_food;Royal Döner;;
677194766;node;47.5035719;8.7521674;;;;restaurant;Tom Yam;"Mo-Fr 11:00-14:00,17:30-23:00; Sa 17:30-23:00";thai
687625761;node;47.5000603;8.7285738;8400;Stadthausstrasse;83;cafe;LoiMy;Mo-Sa 11:30-18:00;bubble_tea
703057903;node;47.498523;8.7261594;8400;Neumarkt;5;restaurant;Ocean Five;Mo-Th 11:00-00:30, Fr 11:00-02:30, Sa 12:00-02:30, Su 17:00-00:30;burger
703057906;node;47.4988298;8.7261226;;Neumarkt;13;restaurant;Zum Goldenen Horn;"Mo-Th 11:00-23:00; Fr, Sa 11:00-00:00; Su 12:00-21:00";turkish
705760974;node;47.4901635;8.7256654;;;;restaurant;Breite;;
708997924;node;47.4981741;8.7292903;8400;Steinberggasse;21;pub;Tearoom Teekult;"Tu-Fr 11:30-18:30; Mo 11:30-18:30; Sa 09:00-17:00";
709022313;node;47.4984079;8.7288259;8400;Steinberggasse;24;cafe;Insieme;;italian
709078361;node;47.498951;8.7260438;;;;cafe;Café Zentrum;"Mo 08:30-17:00; Tu 08:00-18:30; We, Th 08:30-18:30; Fr 08:00-18:30; Sa 08:30-18:30; Su 10:00-17:00";
710880571;node;47.4983744;8.7282627;8400;Steinberggasse;26;restaurant;Silberkeller;;
712608636;node;47.4980881;8.7276003;;;;restaurant;China Garden;Mo-Sa 11:00-14:00,18:00-22:00;chinese
731833436;node;47.497801;8.7276201;;;;fast_food;Tech Point;;kebab
738947656;node;47.4991238;8.7277049;8400;Metzggasse;16;cafe;Kaffeeleben;"Mo,Su off; Tu-Sa 09:00-17:00";
749913670;node;47.4991204;8.7274751;;Marktgasse;49;restaurant;Bistro La Couronne;;
749928336;node;47.4985477;8.728748;8400;Pfarrgasse;4;pub;il salottino;"Mo,Su off; Tu,Fr 09:00+; We-Th 16:00+; Sa 12:00+";
763523652;node;47.4981734;8.731688;8400;Tösstalstrasse;8;restaurant;De Tapas;"Tu-Fr 17:00-23:00; Sa 15:00-23:00";
763523653;node;47.4981861;8.731585;8400;Tösstalstrasse;6;restaurant;La Panetteria;"Mo-Fr 11:00-14:00,17:30-23:00; Sa 18:00-23:00";
854335396;node;47.513644;8.7644672;;;;restaurant;Restaurant Technorama (ZFV);Mo-Su 09:00-17:00;
927397061;node;47.5196057;8.7179758;;;;fast_food;Grill - Take Away;;
966324137;node;47.5042768;8.7255421;;;;restaurant;Banane;Mo-Su 11:30-14:00, 18:00-22:30;
1328945988;node;47.4850983;8.7629319;;;;restaurant;Mare et Monti;;
1479407508;node;47.5113417;8.699504;8408;Wülflingerstrasse;214;restaurant;Schloss Wülflingen;"Mo-Fr 11:00-14:00,17:30-22:00; Sa-Su 11:00-22:00";regional
1483019192;node;47.5013615;8.7260868;;;;pub;Cotton Corner Bar;Mo-Th 08:45-24:00, Fr 08:45-01:00, Sa 16:00-01:00;
1488980360;node;47.4907705;8.712539;;;;restaurant;Zum grünen Hund;"""temporarily closed""";regional
1519474203;node;47.4853361;8.7624179;8405;Hinterdorfstrasse;40;restaurant;Migros Restaurant;"Mo-We 08:00-19:00; Th,Fr 08:00-20:00; Sa 08:00-18:00";international
1519868844;node;47.4997012;8.724378;;;;cafe;Bodega Bar;;
1531299433;node;47.4979196;8.7165097;;;;fast_food;Kiosk AG;Mo-Fr 08:00-14:00;
2172799512;node;47.504091;8.7294585;8400;Lindstrasse;27;restaurant;Siam Chili;"Mo 09:00-14:30; Tu-Fr 09:00-20:00";thai
2424697821;node;47.5071968;8.7548674;;;;cafe;Café Augenblick;"We,Fr 08:00-19:00; Sa 09:00-17:00; Su 10:00-17:00; Th 08:00-19:00";
2424718821;node;47.5063228;8.7571254;;;;restaurant;Restaurant Pizzeria Schmiede;"Mo-Fr 11:00-13:00, 17:00-22:00; Sa-Su 17:00-22:00";italian
2424720789;node;47.5078362;8.7585596;8404;Römertorstrasse;4;restaurant;Bahnhof;;
2424723261;node;47.5072954;8.7541469;;;;restaurant;Restaurant Sonneck;Mo-Th 09:00-14:00, Fr 09:00-14:00, Mo-Th 16:30-23:30, Fr 16:30-24:00;regional
2424724704;node;47.5074494;8.7549274;8404;Römerstrasse;;fast_food;Matterhorn;"Sa-We 09:00-23:00; Th,Fr 09:00-24:00";kebab
2424724937;node;47.5075362;8.7551433;;;;restaurant;Thai Lotos Garden;"Tu-Fr 11:30-14:00,17:30-23:00; Sa 17:30-23:00";thai
2451608588;node;47.5048436;8.7660959;8404;Ida-Sträuli-Strasse;71;restaurant;Ida-Beiz;24/7 closed;regional
2451641185;node;47.5044596;8.7636097;8404;Else-Züblin-Strasse;;restaurant;Gerry's Bar;;pizza
2451643514;node;47.504692;8.7628234;;;;restaurant;Restaurant Eulachpark;Tu 10:00-15:00, We-Th 10:00-22:00, Fr-Sa 10:00+, Su 11:00-21:00;
2457539648;node;47.4866133;8.7594559;;;;restaurant;Restaurant Burehus;"Mo-Fr 09:00-23:30; Su 11:00-17:00";regional
2466736061;node;47.5006088;8.7270725;;;;restaurant;Tres Amigos;Mo-Th 10:00-24:00, Fr-Sa 10:00-02:00, Su 10:00-23:00;mexican
2486983218;node;47.5060346;8.7603588;;Hegifeldstrasse;2a;restaurant;Kafi Müli;Mo-Fr 08:30-16:30;coffee_shop
2493971952;node;47.5010807;8.732526;;;;restaurant;Bloom;"Mo-Fr 06:30-23:00; Sa,Su 07:00-23:00";
2540938577;node;47.4901982;8.709365;;;;restaurant;Asia King;;nepalese
2546033390;node;47.5013027;8.7258319;8400;Museumstrasse;74;restaurant;Cooperativa;Tu-Sa 16:00-23:00;
2570468652;node;47.4943016;8.7399559;8400;Tösstalstrasse;70;restaurant;Al Giardino;"Tu-Th 11:30-14:00,17:30-23:30; Fr 11:30-14:00,17:30-24:00; Sa 17:30-24:00; Su,Mo off";"italian;french;spanish"
2649686873;node;47.5071594;8.7123153;;Wülflingerstrasse;66;fast_food;imo Döner;;kebab
2666984905;node;47.5038264;8.7285402;;Theaterstrasse;27b;restaurant;Bistro Gate 27;Mo-Fr 09:00-14:30;
2795232150;node;47.5001143;8.729312;;;;restaurant;Thai Bamboo;"Mo-Sa 11:30-14:00,17:00-22:00; Su 17:00-22:00";thai
2941529903;node;47.499178;8.7294806;8400;Kirchplatz;14;cafe;Grand Café du Musée;;
2955638928;node;47.5197332;8.6842279;;;;restaurant;Taggenberg;;
3124969715;node;47.4992989;8.7241073;8400;Bahnhofplatz;4;cafe;BackWerk;Mo-Sa 06:00-14:00;
3124969719;node;47.499871;8.7312983;;;;fast_food;Manta Sandwich-Bar;"Mo-We,Fr 07:30-19:00; Th 07:30-20:00; Sa 08:00-18:00; PH closed";
3275087003;node;47.5010925;8.7355238;;;;restaurant;Culinarium Museumstrasse;Mo-Fr 11:30-13:30;
3275087004;node;47.5011816;8.7353616;;;;cafe;Culinarium Museumstrasse;Mo-Fr 07:30-15:30;
3373091672;node;47.4964388;8.7189114;;;;cafe;Cafeteria;;
3445108925;node;47.5000287;8.7244305;;;;fast_food;Manta Bar;"Mo-Fr 07:30-19:00; Sa 08:30-18:30";
3483494147;node;47.4990841;8.7263487;;;;fast_food;Subway;"Mo-Th 09:00-21:00; Fr,Sa 11:00-22:00; PH,Su 12:00-21:00";sandwich
3784367094;node;47.4983033;8.7212739;8400;Zürcherstrasse;01. Mär;restaurant;nooba;"Mo-Fr 10:00-20:00; Sa 10:00-18:00";"indian;japanese;thai"
3814637457;node;47.496146;8.7401724;;;;restaurant;Restaurant Eulachstrand;;
3976628874;node;47.5052219;8.7097444;;;;restaurant;Caliente;;pizza
4009059218;node;47.4965966;8.7479413;8404;Industriestrasse;1;restaurant;Bistro SEIN;Tu-Fr 09:00-18:00;
4058248569;node;47.4988858;8.7329483;8400;General-Guisan-Strasse;19;pub;The Scotsman;Mo-Th 15:00-24:00, Fr 15:00-02:00, Sa 12:00-02:00, Su 12:00-23:00;
4058248571;node;47.499311;8.7331624;8400;General-Guisan-Strasse;31;pub;Bangkok Karaoke;;
4077210830;node;47.4911301;8.7064274;;;;cafe;Schneider;"Mo-Fr 06:00-18:30; Sa 07:00-16:00; Su 08:00-16:00";
4081017595;node;47.4986758;8.7313473;8400;Oberer Graben;8;cafe;EMMA Bett und Bistro;;"regional;oriental"
4095400139;node;47.4990151;8.7214453;;;;cafe;Gottlieber;"Mo-Fr 07:30-20:00; Sa 07:30-18:00; Su 10:00-18:00";
4095400149;node;47.4982504;8.721026;8400;Zürcherstrasse;01. Mär;pub;Boilerroom;Mo-Th 17:00-23:00, Fr-Sa 17:00-01:00, Su 14:30-22:00;
4095400151;node;47.4980587;8.7212955;8400;Zürcherstrasse;01. Mär;restaurant;Yooji's;"Mo-Sa 11:00-23:00; Su 17:00-22:00";sushi
4095400162;node;47.4882213;8.7590845;;;;cafe;Café Restaurant Urban;"Mo 11:00-16:30; Tu-Su 09:00-17:30";
4095400163;node;47.5043234;8.7536581;8404;Frauenfelderstrasse;76;cafe;Café Roman;"Mo-Fr 07:00-23:00; Sa 08:00-19:00; Su 09:00-19:00";
4095400164;node;47.5111731;8.7319184;;;;cafe;Café «Am Römerholz»;;
4095400166;node;47.5016426;8.7226017;;;;cafe;Residenz Café;PH,Mo-Su 08:00-21:00;
4095400168;node;47.4747413;8.7944503;;;;restaurant;Frohsinn Eidberg;;
4095400169;node;47.4972039;8.7192311;;;;restaurant;Pionier;Mo-Fr 07:30-15:30;
4095400171;node;47.4935324;8.7593093;8404;Rudolf-Diesel-Strasse;28;restaurant;Echt Kungfu;"Mo-Fr 10:00-23:00; Sa-Su 15:00-23:00";"asian;chinese"
4095400172;node;47.5101955;8.7301421;;;;restaurant;Trois Tilleuls;Mo-Su 08:00-22:00;
4095400173;node;47.5016738;8.7288079;;;;restaurant;Villa Sträuli;"May-Sep: Tu-Fr 11:30-14:00; Nov-Mar: Tu-Fr 11:30-14:00";
4095400175;node;47.5010572;8.7463217;8404;Römerstrasse;71;restaurant;Stadtrain;"Mo-Fr 08:30-23:30; Sa 11:00-23:30";
4095400177;node;47.501445;8.7473946;;;;fast_food;Habibi;;
4095400181;node;47.5045784;8.7542254;8404;Frauenfelderstrasse;72;fast_food;Kebab Treff Oberwinterthur;"Mo-We,Su 10:00-22:00; Fr-Sa 10:00-23:00";kebab
4095400186;node;47.4983532;8.7247212;8400;Archplatz;2;restaurant;Negishi Sushi Bar;;sushi
4095400191;node;47.4917711;8.7502515;8400;Scheideggstrasse;10;restaurant;Gutschick;"Mo-Sa 08:30-23:00; Su 09:30-22:00";pizza
4095400192;node;47.4913296;8.7497603;8400;Scheideggstrasse;6;restaurant;Gianni's;"Mo-Fr 11:00-14:00,17:00-22:00; Sa,Su 17:00-22:00";pizza
4095400193;node;47.5058456;8.7194072;;;;restaurant;Nachbarsgarten;Tu-Sa 17:00-23:30;
4095987418;node;47.501673;8.7235598;8400;Rudolfstrasse;21;restaurant;Gastronomie am Gleis;"Mo-We 08:00-23:00; Th 08:00-24:00; Fr 08:00-01:00; Sa 08:00-00:30; Su 13:00-23:00";italian
4095987419;node;47.5009501;8.7222403;8400;Wartstrasse;12;restaurant;Thai Bistro;11:30-22:00;thai
4095987420;node;47.5092781;8.7172208;8400;Bachtelstrasse;72;cafe;Café Kunterbunt;"Mo, Th 09:00-20:00; Fr, Sa 09:00-22:00; Su 09:00-18:00";
4095987421;node;47.4917878;8.7137065;8406;Tössfeldstrasse;30;restaurant;Ristorante Caruso;;
4095987422;node;47.4917592;8.7108522;8406;Agnesstrasse;42;restaurant;Ristorante Pizzeria Cardinal;;
4095987423;node;47.4984732;8.7363658;8400;St. Gallerstrasse;27;restaurant;Sanook;"Mo-Fr 11:00-14:00; Mo-Th 17:30-22:00; Fr-Sa 17:30-05:00";thai
4095987424;node;47.4879822;8.7089972;8406;Klosterstrasse;50;restaurant;Castello;;italian
4095987425;node;47.497165;8.7153392;8400;Zürcherstrasse;32;restaurant;Lavin;"Mo 10:00-22:00; Tu-Su 10:00-24:00";"pizza;barbecue;kebab"
4095987426;node;47.5148496;8.7591591;8404;Sonnenblickstrasse;1;restaurant;Euro Pizza;Tu-Fr 11:00-13:30, Tu-Sa 17:00-22:00;pizza
4095987428;node;47.4984106;8.7373286;8400;St. Gallerstrasse;35;fast_food;Dieci Pizzakurier;"Mo-Th 11:00-13:30,17:00-22:00; Fr,Sa 11:00-13:30,17:00-23:00; Su 11:00-22:00";pizza
4095987429;node;47.502298;8.7296633;;;;restaurant;Kongresshaus Liebestrasse;;
4095987430;node;47.4932416;8.7428894;8400;Allmannstrasse;20;fast_food;Viet-Long;"Mo-Fr 11:00-14:00,17:00-22:00; Sa,Su 16:30-22:00";"vietnamese;asian"
4095987432;node;47.4974571;8.7157786;8400;Zürcherstrasse;30;restaurant;Western Saloon Restaurant Harmonie;Mo-Fr 11:00-14:00,17:00-23:00;
4095987433;node;47.5076476;8.7084093;;Flüelistrasse;9;restaurant;Bocciodromo Pizzeria;"Tu-Fr 14:00-23:00; Sa-Su 11:00-23:00";pizza
